 #Only print out G elements for debugging if printlevel>2
    1      -0.00665270       0.02320950      -0.22431140      -0.01287227       0.03579308       0.13033102      -0.03866281       0.00899328       0.01095370       0.03570376      -0.02825675       0.02594267       0.05667222      -0.00567306       0.01641727      -0.04266159      -0.03374663      -0.01894194
    2       0.00284334       0.02248165      -0.16601353       0.00833561       0.03364894       0.18908312      -0.05665787       0.00689268       0.00491898       0.04654605      -0.02560805       0.02185334       0.04064764      -0.00388872       0.01066928      -0.03607448      -0.03373750      -0.02118798
    3       0.00478291       0.02192038      -0.15217196       0.01351768       0.03202583       0.20430472      -0.06122091       0.00551016       0.00317294       0.04964335      -0.02357268       0.01996199       0.03693405      -0.00292888       0.00895790      -0.03459774      -0.03329112      -0.02163591
    4      -0.00472630       0.02176348      -0.20933240      -0.00779509       0.03120277       0.14981006      -0.04389072       0.00538462       0.00829276       0.03956466      -0.02260960       0.02167736       0.05350794      -0.00334474       0.01378517      -0.04177706      -0.03220807      -0.01925820
    5      -0.00766323       0.02125963      -0.22601193      -0.01454511       0.02982200       0.13370946      -0.03858324       0.00452465       0.00952460       0.03657135      -0.02085887       0.02120964       0.05885470      -0.00300058       0.01499297      -0.04420814      -0.03139742      -0.01835614
    6       0.00091398       0.02005569      -0.16839046       0.00669861       0.02757140       0.18958656      -0.05627550       0.00226356       0.00352687       0.04778131      -0.01775685       0.01673137       0.04257191      -0.00118964       0.00929758      -0.03715611      -0.03110779      -0.02028456
    7       0.00391469       0.01897915      -0.14527748       0.01495438       0.02569226       0.21121310      -0.06324535       0.00061413       0.00086544       0.05253057      -0.01511658       0.01395239       0.03617046      -0.00005628       0.00678547      -0.03429852      -0.03046992      -0.02080302
    8      -0.00454485       0.01849519      -0.19742129      -0.00614075       0.02450715       0.15787735      -0.04600399       0.00038299       0.00565066       0.04194826      -0.01358055       0.01511113       0.05251498      -0.00047148       0.01153943      -0.04163705      -0.02919762      -0.01822493
    9      -0.00843298       0.01766787      -0.21990807      -0.01619567       0.02293594       0.13280324      -0.03778799      -0.00041379       0.00758193       0.03691912      -0.01142033       0.01462023       0.06034116      -0.00031607       0.01358974      -0.04526438      -0.02809425      -0.01671236
   10      -0.00101018       0.01587319      -0.16525925       0.00416501       0.02068188       0.18381222      -0.05470963      -0.00269773       0.00176495       0.04821952      -0.00794045       0.00981902       0.04421999       0.00144904       0.00800611      -0.03781494      -0.02746936      -0.01830041
   11       0.00290376       0.01414228      -0.13313844       0.01573234       0.01863675       0.21202269      -0.06440865      -0.00455269      -0.00184490       0.05501729      -0.00472964       0.00611561       0.03481643       0.00274490       0.00456279      -0.03331161      -0.02659357      -0.01892648
   12      -0.00425213       0.01328597      -0.17781912      -0.00400414       0.01703094       0.16237076      -0.04801088      -0.00493006       0.00249134       0.04448163      -0.00251755       0.00662326       0.05030814       0.00235190       0.00911384      -0.04063839      -0.02515429      -0.01618188
   13      -0.00901887       0.01218830      -0.20646122      -0.01773035       0.01519724       0.12782697      -0.03650290      -0.00561976       0.00530388       0.03702527       0.00008890       0.00620271       0.06115727       0.00225994       0.01221635      -0.04591941      -0.02378180      -0.01397719
   14      -0.00306395       0.00980790      -0.15795105       0.00038428       0.01302379       0.17087009      -0.05174018      -0.00775993      -0.00004890       0.04775749       0.00379193       0.00126831       0.04625525       0.00387836       0.00700334      -0.03862353      -0.02276983      -0.01512817
   15       0.00170350       0.00732768      -0.11657102       0.01576609       0.01095650       0.20639884      -0.06481048      -0.00972992      -0.00475280       0.05723038       0.00741519      -0.00339368       0.03334268       0.00533871       0.00239508      -0.03213491      -0.02160511      -0.01595785
   16      -0.00378362       0.00608257      -0.15029271      -0.00085402       0.00892219       0.16443110      -0.05072864      -0.01029772      -0.00119146       0.04790557       0.01029698      -0.00367524       0.04663369       0.00503570       0.00636299      -0.03877521      -0.02004949      -0.01321934
   17      -0.00935789       0.00490437      -0.18550578      -0.01866559       0.00670519       0.11997791      -0.03548476      -0.01085372       0.00273197       0.03759755       0.01333773      -0.00384396       0.06110008       0.00464208       0.01079720      -0.04619331      -0.01849283      -0.01024733
   18      -0.00532355       0.00213845      -0.14774996      -0.00492977       0.00464500       0.15021326      -0.04726466      -0.01265379      -0.00159808       0.04638358       0.01703970      -0.00850965       0.04937501       0.00595438       0.00656778      -0.04022934      -0.01708561      -0.01073679
   19       0.00011930      -0.00110958      -0.09774885       0.01450510       0.00279621       0.19288779      -0.06410052      -0.01456832      -0.00749296       0.05897002       0.02072763      -0.01404967       0.03270035       0.00755170       0.00061737      -0.03157812      -0.01556660      -0.01185113
   20      -0.00320381      -0.00277991      -0.11560921       0.00368966       0.00047078       0.16450769      -0.05478400      -0.01533687      -0.00535770       0.05283359       0.02405719      -0.01532691       0.04141743       0.00747131       0.00322432      -0.03617134      -0.01392904      -0.00947503
   21      -0.00926653      -0.00373024      -0.15608470      -0.01785429      -0.00229320       0.11180649      -0.03602018      -0.01578729      -0.00026838       0.03973547       0.02744993      -0.01506072       0.05935643       0.00679048       0.00907730      -0.04575876      -0.01234811      -0.00578236
   22      -0.00768495      -0.00638311      -0.13526890      -0.01159815      -0.00437000       0.12273156      -0.04148683      -0.01707238      -0.00263833       0.04426618       0.03092189      -0.01876709       0.05374575       0.00758759       0.00689646      -0.04293198      -0.01066172      -0.00524757
   23      -0.00211631      -0.01023046      -0.08062141       0.01071162      -0.00569950       0.16893784      -0.06111535      -0.01864130      -0.00942148       0.05932353       0.03412812      -0.02478034       0.03433485       0.00919165      -0.00014684      -0.03268916      -0.00874093      -0.00656837
