 # step, qF, pF if printlevel>2
    1      -0.10533663       0.32369742       0.24825491       1.54968319
    2      -0.11997858       1.57353582       0.24151739      -0.17408171
    3      -0.13433511      -0.02377307       0.23388377      -1.58294368
    4      -0.14823505      -1.57805264       0.22536194      -0.12662258
    5      -0.16172342      -0.27654671       0.21580647       1.55878769
    6      -0.17477892       1.52493271       0.20537151       0.42532187
    7      -0.18731046       0.57215657       0.19407042      -1.47611469
    8      -0.19912516      -1.41192668       0.18199810      -0.71605139
    9      -0.21016792      -0.85585335       0.16897127       1.33184947
   10      -0.22053268       1.23537319       0.15515808       0.99004091
   11      -0.23011907       1.11680541       0.14070065      -1.12206438
   12      -0.23870151      -0.99171852       0.12580535      -1.23398580
   13      -0.24610356      -1.33920362       0.11024581       0.84430530
   14      -0.25261673       0.68013369       0.09411347       1.42960597
   15      -0.25826341       1.50208237       0.07775504      -0.50004541
   16      -0.26281049      -0.30552299       0.06155253      -1.55332620
   17      -0.26587495      -1.58005685       0.04528343       0.09861454
   18      -0.26793070      -0.11788105       0.02873392       1.57877031
   19      -0.26935519       1.54617691       0.01238850       0.34010998
   20      -0.27002145       0.56327184      -0.00310641      -1.47946962
   21      -0.26925346      -1.37658221      -0.01779810      -0.78182263
   22      -0.26739186      -0.98934589      -0.03242499       1.23599234
   23      -0.26536054       1.05741333      -0.04671643       1.17826636
   24      -0.26339626       1.34041623      -0.05975422      -0.84224387
   25      -0.26062525      -0.59367109      -0.07107181      -1.46751668
   26      -0.25666367      -1.55123319      -0.08177151       0.31647418
   27      -0.25274511       0.01782918      -0.09240882       1.58312584
   28      -0.24982690       1.55588448      -0.10207388       0.29229092
   29      -0.24734002       0.60159549      -0.10954912      -1.46421736
   30      -0.24385696      -1.30515477      -0.11541969      -0.89600261
   31      -0.23991233      -1.15925271      -0.12135704       1.07837038
   32      -0.23723668       0.78799193      -0.12727631       1.37317804
   33      -0.23631974       1.51956588      -0.13156160      -0.44362804
   34      -0.23553523      -0.06030152      -0.13327608      -1.58181856
   35      -0.23356960      -1.54588699      -0.13406804      -0.34168184
   36      -0.23178816      -0.73583110      -0.13556315       1.40195542
   37      -0.23204004       1.14803096      -0.13696047       1.09016459
   38      -0.23416706       1.37023331      -0.13618725      -0.79253891
   39      -0.23591506      -0.35533051      -0.13275965      -1.54255834
   40      -0.23623865      -1.57774321      -0.12883974      -0.13175757
   41      -0.23689769      -0.62405649      -0.12588567       1.45520266
   42      -0.23973728       1.17011686      -0.12272241       1.06645521
   43      -0.24436228       1.39996122      -0.11710431      -0.73872916
   44      -0.24838716      -0.20039206      -0.10852172      -1.57015831
