      1    0.999999998884E+000     0.000000000000E+000     0.472412160832E-004     0.000000000000E+000    -0.472412160833E-004     0.000000000000E+000     0.999999998884E+000     0.000000000000E+000
      2    0.999999999986E+000     0.000000000000E+000     0.522307295631E-005     0.000000000000E+000    -0.522307295629E-005     0.000000000000E+000     0.999999999986E+000     0.000000000000E+000
      3    0.999999999570E+000     0.000000000000E+000     0.293297242992E-004     0.000000000000E+000    -0.293297242992E-004     0.000000000000E+000     0.999999999570E+000     0.000000000000E+000
      4    0.999999997652E+000     0.000000000000E+000     0.685309682457E-004     0.000000000000E+000    -0.685309682457E-004     0.000000000000E+000     0.999999997652E+000     0.000000000000E+000
      5    0.999999998889E+000     0.000000000000E+000     0.471313666383E-004     0.000000000000E+000    -0.471313666384E-004     0.000000000000E+000     0.999999998889E+000     0.000000000000E+000
      6    0.999999999976E+000     0.000000000000E+000     0.690959376548E-005     0.000000000000E+000    -0.690959376551E-005     0.000000000000E+000     0.999999999976E+000     0.000000000000E+000
      7    0.999999999471E+000     0.000000000000E+000     0.325374920441E-004     0.000000000000E+000    -0.325374920441E-004     0.000000000000E+000     0.999999999471E+000     0.000000000000E+000
      8    0.999999996525E+000     0.000000000000E+000     0.833665341347E-004     0.000000000000E+000    -0.833665341347E-004     0.000000000000E+000     0.999999996525E+000     0.000000000000E+000
      9    0.999999997187E+000     0.000000000000E+000     0.750052916790E-004     0.000000000000E+000    -0.750052916790E-004     0.000000000000E+000     0.999999997187E+000     0.000000000000E+000
     10    0.999999999336E+000     0.000000000000E+000     0.364509575572E-004     0.000000000000E+000    -0.364509575572E-004     0.000000000000E+000     0.999999999336E+000     0.000000000000E+000
     11    0.999999997953E+000     0.000000000000E+000     0.639883950885E-004     0.000000000000E+000    -0.639883950884E-004     0.000000000000E+000     0.999999997953E+000     0.000000000000E+000
     12    0.999999991713E+000     0.000000000000E+000     0.128743676254E-003     0.000000000000E+000    -0.128743676255E-003     0.000000000000E+000     0.999999991713E+000     0.000000000000E+000
     13    0.999999991040E+000     0.000000000000E+000     0.133868447809E-003     0.000000000000E+000    -0.133868447809E-003     0.000000000000E+000     0.999999991040E+000     0.000000000000E+000
     14    0.999999994940E+000     0.000000000000E+000     0.100599991507E-003     0.000000000000E+000    -0.100599991507E-003     0.000000000000E+000     0.999999994940E+000     0.000000000000E+000
     15    0.999999991959E+000     0.000000000000E+000     0.126811027823E-003     0.000000000000E+000    -0.126811027823E-003     0.000000000000E+000     0.999999991959E+000     0.000000000000E+000
     16    0.999999979280E+000     0.000000000000E+000     0.203566923977E-003     0.000000000000E+000    -0.203566923977E-003     0.000000000000E+000     0.999999979280E+000     0.000000000000E+000
     17    0.999999972992E+000     0.000000000000E+000     0.232413257547E-003     0.000000000000E+000    -0.232413257547E-003     0.000000000000E+000     0.999999972992E+000     0.000000000000E+000
     18    0.999999979002E+000     0.000000000000E+000     0.204929652172E-003     0.000000000000E+000    -0.204929652172E-003     0.000000000000E+000     0.999999979002E+000     0.000000000000E+000
     19    0.999999974676E+000     0.000000000000E+000     0.225052041299E-003     0.000000000000E+000    -0.225052041299E-003     0.000000000000E+000     0.999999974676E+000     0.000000000000E+000
     20    0.999999951420E+000     0.000000000000E+000     0.311705085998E-003     0.000000000000E+000    -0.311705085998E-003     0.000000000000E+000     0.999999951420E+000     0.000000000000E+000
     21    0.999999932488E+000     0.000000000000E+000     0.367455029352E-003     0.000000000000E+000    -0.367455029352E-003     0.000000000000E+000     0.999999932488E+000     0.000000000000E+000
     22    0.999999937579E+000     0.000000000000E+000     0.353328706351E-003     0.000000000000E+000    -0.353328706351E-003     0.000000000000E+000     0.999999937579E+000     0.000000000000E+000
     23    0.999999935163E+000     0.000000000000E+000     0.360101948514E-003     0.000000000000E+000    -0.360101948514E-003     0.000000000000E+000     0.999999935163E+000     0.000000000000E+000
     24    0.999999899595E+000     0.000000000000E+000     0.448119030585E-003     0.000000000000E+000    -0.448119030585E-003     0.000000000000E+000     0.999999899595E+000     0.000000000000E+000
     25    0.999999857859E+000     0.000000000000E+000     0.533180763181E-003     0.000000000000E+000    -0.533180763182E-003     0.000000000000E+000     0.999999857859E+000     0.000000000000E+000
     26    0.999999854265E+000     0.000000000000E+000     0.539878672152E-003     0.000000000000E+000    -0.539878672152E-003     0.000000000000E+000     0.999999854265E+000     0.000000000000E+000
     27    0.999999857237E+000     0.000000000000E+000     0.534345560250E-003     0.000000000000E+000    -0.534345560250E-003     0.000000000000E+000     0.999999857237E+000     0.000000000000E+000
     28    0.999999819271E+000     0.000000000000E+000     0.601214484912E-003     0.000000000000E+000    -0.601214484912E-003     0.000000000000E+000     0.999999819271E+000     0.000000000000E+000
     29    0.999999750722E+000     0.000000000000E+000     0.706085524674E-003     0.000000000000E+000    -0.706085524674E-003     0.000000000000E+000     0.999999750722E+000     0.000000000000E+000
     30    0.999999717982E+000     0.000000000000E+000     0.751023407993E-003     0.000000000000E+000    -0.751023407993E-003     0.000000000000E+000     0.999999717982E+000     0.000000000000E+000
     31    0.999999726528E+000     0.000000000000E+000     0.739557110007E-003     0.000000000000E+000    -0.739557110007E-003     0.000000000000E+000     0.999999726528E+000     0.000000000000E+000
     32    0.999999708936E+000     0.000000000000E+000     0.762972501416E-003     0.000000000000E+000    -0.762972501416E-003     0.000000000000E+000     0.999999708936E+000     0.000000000000E+000
     33    0.999999630789E+000     0.000000000000E+000     0.859314347998E-003     0.000000000000E+000    -0.859314347998E-003     0.000000000000E+000     0.999999630789E+000     0.000000000000E+000
